,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,frisk_performed,search_person,search_vehicle,reason_for_frisk,reason_for_search,reason_for_stop
21,23.0,white,female,False,False,False,False,False,True,True,,Observation of Suspected Contraband,Speed Limit Violation
26,22.0,white,female,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
49,19.0,white,male,False,False,True,False,False,True,True,,Observation of Suspected Contraband,Speed Limit Violation
51,37.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
58,24.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
82,19.0,white,male,False,True,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
92,31.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
104,22.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
105,22.0,white,male,False,True,False,True,False,True,True,,Other Official Information,Speed Limit Violation
106,21.0,white,female,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
107,33.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
108,21.0,black,male,False,True,False,False,True,True,False,Other Official Information,Other Official Information,Safe Movement Violation
109,23.0,black,male,False,True,False,False,False,False,True,,Other Official Information,Vehicle Regulatory Violation
111,19.0,white,male,False,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
116,18.0,asian/pacific islander,female,True,False,False,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Speed Limit Violation
117,21.0,asian/pacific islander,male,True,False,False,False,False,True,True,,Witness Observation,Speed Limit Violation
119,32.0,white,male,True,False,False,False,False,False,False,,Erratic/Suspicious Behavior,Safe Movement Violation
123,40.0,white,male,False,False,True,False,True,True,True,Observation of Suspected Contraband,Observation of Suspected Contraband,Vehicle Regulatory Violation
129,39.0,unknown,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
