,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,frisk_performed,search_person,search_vehicle,reason_for_frisk,reason_for_search,reason_for_stop
135,20.0,unknown,male,False,False,True,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
144,18.0,white,male,False,True,False,False,True,True,False,Observation of Suspected Contraband,Observation of Suspected Contraband,Vehicle Regulatory Violation
166,32.0,black,male,True,False,False,False,False,True,False,,Suspicious Movement,Safe Movement Violation
197,49.0,white,male,False,False,True,False,True,True,False,Suspicious Movement,Suspicious Movement,Investigation
212,29.0,white,male,False,True,False,False,False,False,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
215,38.0,hispanic,male,True,False,False,False,False,False,True,,Erratic/Suspicious Behavior,Driving While Impaired
232,21.0,white,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Investigation
233,21.0,white,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Investigation
234,21.0,white,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Investigation
266,21.0,white,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Investigation
267,25.0,white,female,True,False,False,True,False,True,True,,Other Official Information,Stop Light/Sign Violation
268,20.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
269,25.0,white,female,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
270,22.0,black,male,False,True,False,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Investigation
305,35.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Investigation
316,23.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Safe Movement Violation
320,26.0,black,male,False,True,False,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Safe Movement Violation
335,20.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
336,19.0,white,male,False,True,False,False,True,False,False,Other Official Information,Other Official Information,Safe Movement Violation
340,25.0,black,male,False,False,True,False,True,True,False,Suspicious Movement,Suspicious Movement,Safe Movement Violation
372,21.0,white,female,True,False,False,True,False,True,True,,Other Official Information,Speed Limit Violation
390,20.0,white,female,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
395,18.0,black,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
404,19.0,white,male,True,False,False,True,False,True,True,,Other Official Information,Vehicle Regulatory Violation
405,25.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Safe Movement Violation
417,17.0,white,male,False,True,False,False,False,True,True,,Suspicious Movement,Speed Limit Violation
461,22.0,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
464,29.0,black,male,True,False,False,True,False,True,True,,Other Official Information,Speed Limit Violation
484,20.0,black,male,False,True,False,False,True,False,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
487,29.0,white,male,False,False,True,False,True,False,False,Other Official Information,Other Official Information,Safe Movement Violation
489,22.0,black,male,False,False,False,False,True,False,False,Informant Tip,Informant Tip,Investigation
493,18.0,black,male,False,False,False,False,True,False,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Investigation
494,21.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Safe Movement Violation
496,28.0,asian/pacific islander,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
523,23.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
528,19.0,black,male,False,False,True,False,False,False,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
532,20.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
533,23.0,black,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Investigation
536,33.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
538,18.0,black,male,False,False,True,True,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
576,31.0,white,female,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
578,33.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Safe Movement Violation
583,21.0,black,male,False,False,True,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
586,23.0,white,male,False,False,True,False,True,False,False,Other Official Information,Other Official Information,Safe Movement Violation
587,21.0,black,male,False,True,False,False,False,True,False,,Other Official Information,Vehicle Regulatory Violation
593,37.0,black,male,False,True,False,False,True,False,True,Observation of Suspected Contraband,Observation of Suspected Contraband,Safe Movement Violation
598,27.0,black,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
599,20.0,white,male,False,True,False,True,False,False,False,,Observation of Suspected Contraband,Speed Limit Violation
617,31.0,black,male,True,False,False,False,False,True,False,,Erratic/Suspicious Behavior,Speed Limit Violation
623,22.0,black,male,False,True,False,False,True,True,True,Other Official Information,Other Official Information,Vehicle Equipment Violation
626,24.0,black,male,False,True,False,True,False,False,True,,Other Official Information,Stop Light/Sign Violation
658,22.0,white,female,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
663,29.0,black,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Investigation
674,41.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
692,24.0,white,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
693,24.0,white,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
694,24.0,white,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
741,21.0,hispanic,male,False,True,False,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
744,29.0,white,male,False,True,False,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Safe Movement Violation
748,27.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
752,21.0,white,female,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
757,22.0,white,male,True,False,False,False,False,True,True,,Suspicious Movement,Speed Limit Violation
769,20.0,black,male,False,True,False,True,True,True,True,Observation of Suspected Contraband,Observation of Suspected Contraband,Stop Light/Sign Violation
780,25.0,hispanic,male,False,True,False,False,True,True,False,Suspicious Movement,Suspicious Movement,Vehicle Regulatory Violation
799,21.0,white,male,False,False,True,False,False,False,True,,Witness Observation,Vehicle Regulatory Violation
803,33.0,white,male,False,True,False,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Safe Movement Violation
817,31.0,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
829,30.0,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior|Suspicious Movement,Speed Limit Violation
832,28.0,hispanic,male,False,True,False,False,True,True,True,Suspicious Movement,Suspicious Movement,Other Motor Vehicle Violation
854,22.0,black,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
860,44.0,black,male,False,True,False,True,True,True,True,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
873,23.0,hispanic,male,False,True,False,False,True,True,True,Suspicious Movement,Suspicious Movement,Vehicle Regulatory Violation
874,24.0,hispanic,male,True,False,False,True,False,True,True,,Other Official Information,Stop Light/Sign Violation
875,26.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
891,22.0,black,male,True,False,False,True,True,True,True,Observation of Suspected Contraband,Observation of Suspected Contraband,Speed Limit Violation
926,23.0,white,male,False,True,False,True,False,False,True,,Erratic/Suspicious Behavior,Speed Limit Violation
931,19.0,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
933,20.0,white,male,False,True,False,True,False,True,True,,Suspicious Movement,Safe Movement Violation
947,23.0,white,male,False,True,False,True,False,False,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
949,40.0,white,male,True,False,False,True,False,True,True,,Suspicious Movement,Driving While Impaired
954,21.0,white,male,False,True,False,True,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
977,25.0,black,male,False,False,True,True,True,True,True,Observation of Suspected Contraband,Observation of Suspected Contraband,Vehicle Equipment Violation
978,15.0,white,male,False,False,True,True,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
985,37.0,black,male,True,False,False,False,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
1001,44.0,black,female,False,True,False,False,False,True,True,,Suspicious Movement,Safe Movement Violation
1009,29.0,black,male,False,True,False,True,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
1010,21.0,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Safe Movement Violation
1014,27.0,black,male,True,False,False,False,False,True,True,,Other Official Information,Investigation
1022,21.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
1025,27.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Investigation
1026,32.0,black,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
1072,25.0,black,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
1077,48.0,white,male,False,True,False,True,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Driving While Impaired
1092,40.0,black,male,False,True,False,False,True,True,True,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Stop Light/Sign Violation
1094,18.0,hispanic,male,False,True,False,False,False,True,False,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
1096,21.0,white,male,False,True,False,False,True,True,True,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Safe Movement Violation
1127,44.0,white,female,True,False,False,False,False,True,True,,Other Official Information,Safe Movement Violation
1131,21.0,white,male,False,True,False,True,False,True,True,,Suspicious Movement,Safe Movement Violation
1140,31.0,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
1171,25.0,white,male,False,True,False,True,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
1181,43.0,black,female,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1184,47.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1198,21.0,white,male,False,True,False,False,False,False,True,,Suspicious Movement,Safe Movement Violation
1200,18.0,black,male,False,True,False,True,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
1216,48.0,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
1217,48.0,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1223,21.0,white,male,False,False,True,False,False,True,True,,Suspicious Movement,Investigation
1239,24.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
1293,20.0,asian/pacific islander,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1296,21.0,white,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1303,24.0,black,male,True,False,False,True,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
1304,27.0,asian/pacific islander,male,False,True,False,False,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
1331,23.0,unknown,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1344,21.0,white,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
1383,20.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
1384,18.0,black,male,False,True,False,False,True,False,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Stop Light/Sign Violation
1391,19.0,white,male,False,False,True,True,False,True,True,,Erratic/Suspicious Behavior,Seat Belt Violation
1399,19.0,white,female,False,True,False,True,False,True,True,,Suspicious Movement,Investigation
1449,31.0,black,male,False,True,False,False,True,False,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
1458,23.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
1473,17.0,white,male,False,False,True,False,False,False,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1476,19.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
1486,19.0,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
1491,22.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
1498,20.0,black,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Investigation
1515,53.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
1533,24.0,black,male,True,False,False,True,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
1544,21.0,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
1564,38.0,black,male,False,True,False,False,False,False,True,,Observation of Suspected Contraband,Speed Limit Violation
1566,22.0,white,male,False,True,False,True,True,False,True,Informant Tip,Informant Tip,Speed Limit Violation
1581,34.0,black,male,False,True,False,True,False,False,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1612,21.0,white,male,True,False,False,True,False,True,True,,Other Official Information,Driving While Impaired
1616,32.0,white,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband|Other Official Information,Stop Light/Sign Violation
1629,18.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1630,19.0,white,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
1632,19.0,white,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Safe Movement Violation
1638,20.0,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
1691,16.0,white,male,True,False,False,False,False,True,True,,Suspicious Movement,Speed Limit Violation
1705,39.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
1710,25.0,white,male,False,True,False,False,True,True,False,Other Official Information,Other Official Information,Vehicle Regulatory Violation
1717,21.0,black,male,False,True,False,True,True,True,False,Observation of Suspected Contraband,Observation of Suspected Contraband,Speed Limit Violation
1719,30.0,white,male,False,True,False,True,False,True,True,,Other Official Information,Stop Light/Sign Violation
1754,35.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Safe Movement Violation
1782,19.0,white,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Investigation
1807,22.0,hispanic,male,False,True,False,True,False,True,True,,Suspicious Movement,Driving While Impaired
1811,29.0,black,male,True,False,False,True,False,True,True,,Other Official Information,Driving While Impaired
1813,21.0,black,male,True,False,False,True,False,True,True,,Other Official Information,Driving While Impaired
1861,21.0,white,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Safe Movement Violation
1882,31.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
1883,31.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
1884,31.0,black,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
1907,18.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
1946,22.0,white,male,False,True,False,False,False,False,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
1948,38.0,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior|Observation of Suspected Contraband,Speed Limit Violation
1960,43.0,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
1961,30.0,white,male,True,False,False,True,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
1977,18.0,white,male,False,True,False,False,False,True,True,,Informant Tip,Investigation
2005,36.0,white,male,True,False,False,False,False,True,False,,Erratic/Suspicious Behavior,Safe Movement Violation
2136,23.0,white,male,True,False,False,False,False,True,False,,Other Official Information,Driving While Impaired
2331,22.0,black,male,False,True,False,True,False,True,True,,Other Official Information,Stop Light/Sign Violation
2411,24.0,white,male,True,False,False,False,False,True,True,,Suspicious Movement,Driving While Impaired
2486,21.0,white,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
2520,21.0,white,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
2535,26.0,black,male,False,True,False,True,False,True,True,,Suspicious Movement,Speed Limit Violation
2580,25.0,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2603,18.0,black,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Investigation
2604,35.0,black,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Investigation
2606,30.0,black,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Investigation
2643,33.0,white,male,True,False,False,False,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
2645,18.0,white,male,False,True,False,True,True,True,True,Observation of Suspected Contraband,Observation of Suspected Contraband,Vehicle Equipment Violation
2735,19.0,white,female,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Safe Movement Violation
2935,30.0,black,male,False,True,False,True,False,True,True,,Informant Tip,Investigation
2977,21.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
2996,20.0,hispanic,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3032,24.0,black,male,True,False,False,False,False,True,True,,Other Official Information,Seat Belt Violation
3141,24.0,other,male,False,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3230,31.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
3231,23.0,black,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3236,18.0,hispanic,female,True,False,False,False,False,True,True,,Witness Observation,Vehicle Equipment Violation
3237,26.0,black,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
3260,26.0,hispanic,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Speed Limit Violation
3310,19.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
3434,22.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
3452,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Seat Belt Violation
3457,25.0,black,male,True,False,False,True,False,True,True,,Other Official Information,Stop Light/Sign Violation
3479,28.0,black,male,True,False,False,False,False,True,False,,Suspicious Movement,Stop Light/Sign Violation
3609,21.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
3610,21.0,black,male,False,True,False,False,True,True,True,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Investigation
3611,21.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
3612,21.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
3613,21.0,black,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Investigation
3632,56.0,white,male,True,False,False,False,False,True,False,,Witness Observation,Driving While Impaired
3642,24.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Investigation
3644,25.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Investigation
3653,29.0,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Investigation
3659,25.0,white,male,False,False,True,False,True,True,False,Observation of Suspected Contraband,Observation of Suspected Contraband,Speed Limit Violation
3704,18.0,white,male,True,False,False,True,False,True,True,,Other Official Information,Safe Movement Violation
3708,32.0,hispanic,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
3712,48.0,white,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Speed Limit Violation
3726,19.0,black,female,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
3732,51.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
3733,21.0,white,male,False,False,True,False,True,True,True,Other Official Information,Other Official Information,Safe Movement Violation
3745,26.0,other,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
3755,19.0,white,female,False,True,False,False,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
3764,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Safe Movement Violation
3765,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Safe Movement Violation
3766,21.0,black,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Safe Movement Violation
3767,23.0,unknown,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
3808,28.0,hispanic,male,False,True,False,False,True,True,False,Suspicious Movement,Suspicious Movement,Speed Limit Violation
3823,31.0,white,male,True,False,False,True,False,True,True,,Witness Observation,Stop Light/Sign Violation
3846,27.0,hispanic,male,False,True,False,False,False,False,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
3848,26.0,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
3849,26.0,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Investigation
3850,26.0,black,male,False,True,False,True,False,True,True,,Suspicious Movement,Investigation
3867,23.0,white,male,True,False,False,False,False,True,True,,Suspicious Movement,Driving While Impaired
3868,27.0,hispanic,male,True,False,False,False,False,True,True,,Suspicious Movement,Driving While Impaired
3870,24.0,white,male,False,True,False,True,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3872,25.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
3874,20.0,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3888,34.0,black,female,False,True,False,False,False,False,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3906,19.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
3908,19.0,black,male,False,True,False,False,False,False,True,,Other Official Information,Safe Movement Violation
3914,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3915,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3918,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3919,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3920,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3921,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3922,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3924,34.0,black,male,True,False,False,True,False,True,True,,Other Official Information,Stop Light/Sign Violation
3940,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3941,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3949,43.0,white,male,True,False,False,True,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3973,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3974,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3976,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
3997,21.0,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
4019,25.0,black,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
4045,37.0,white,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Speed Limit Violation
4062,47.0,white,male,True,False,False,False,False,True,False,,Suspicious Movement,Driving While Impaired
4063,18.0,white,male,True,False,False,True,False,True,True,,Other Official Information,Other Motor Vehicle Violation
4081,30.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
4124,24.0,black,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
4125,24.0,black,male,True,False,False,True,False,True,True,,Other Official Information,Driving While Impaired
4128,38.0,white,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
4138,21.0,white,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
4148,26.0,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
4154,23.0,black,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
4161,31.0,other,male,False,True,False,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Safe Movement Violation
4189,18.0,white,male,True,False,False,True,False,True,True,,Other Official Information,Other Motor Vehicle Violation
4197,46.0,white,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
4198,46.0,white,male,True,False,False,True,False,True,True,,Other Official Information,Driving While Impaired
4204,44.0,black,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
4238,18.0,black,female,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
4239,18.0,black,female,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
4240,18.0,black,female,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
4243,19.0,white,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
