,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,frisk_performed,search_person,search_vehicle,reason_for_frisk,reason_for_search,reason_for_stop
17,21,hispanic,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
40,34,hispanic,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
56,22,white,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
64,49,other,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
75,39,black,male,False,False,True,False,True,True,True,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Investigation
81,18,white,female,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
176,29,black,male,True,False,False,False,False,True,False,,Other Official Information,Speed Limit Violation
179,37,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
198,33,black,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Investigation
226,22,black,male,False,True,False,False,False,True,False,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
232,27,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
242,34,black,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Seat Belt Violation
246,26,black,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
249,22,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
258,31,white,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
262,40,hispanic,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
266,22,black,female,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
269,23,black,female,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
280,35,white,male,True,False,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
287,32,black,male,False,True,False,True,False,True,True,,Other Official Information,Vehicle Equipment Violation
305,49,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
312,42,black,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
313,28,black,male,False,False,True,False,True,True,True,Other Official Information,Other Official Information,Other Motor Vehicle Violation
314,41,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
315,26,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
327,24,black,male,True,False,False,False,False,True,True,,Other Official Information,Investigation
332,27,hispanic,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
374,20,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
413,65,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
414,29,black,male,False,True,False,False,False,True,True,,Other Official Information,Speed Limit Violation
431,19,hispanic,male,True,False,False,False,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
438,36,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
491,38,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
493,40,white,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
532,47,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
559,22,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
572,22,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Speed Limit Violation
578,26,black,male,False,False,True,False,True,True,False,Observation of Suspected Contraband,Observation of Suspected Contraband,Vehicle Equipment Violation
696,24,white,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
775,19,white,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
799,24,hispanic,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
800,42,white,male,True,False,False,True,True,True,True,Other Official Information,Other Official Information,Vehicle Regulatory Violation
804,27,white,male,False,False,True,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
805,25,black,female,False,True,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
806,33,unknown,female,False,False,True,False,False,True,True,,Other Official Information,Investigation
817,20,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Seat Belt Violation
863,35,white,male,False,False,True,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
868,16,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
869,31,black,female,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
970,27,black,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
1003,36,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
1006,21,white,male,True,False,False,True,False,True,True,,Other Official Information,Investigation
1008,26,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
1080,35,black,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
1128,31,black,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
1138,37,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
1154,25,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
1189,28,other,female,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
1195,19,white,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1200,26,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
1203,24,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
1204,41,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
1212,18,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
1216,33,black,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
1226,41,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
1231,21,white,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
1232,35,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
1248,43,black,male,True,False,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
1251,29,black,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
1271,29,white,male,True,False,False,False,False,True,True,,Witness Observation,Speed Limit Violation
1309,24,white,male,False,True,False,False,False,True,True,,Suspicious Movement,Other Motor Vehicle Violation
1318,23,black,female,False,True,False,False,False,True,True,,Informant Tip,Other Motor Vehicle Violation
1320,20,white,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
1326,18,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
1351,35,white,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
1363,44,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
1378,55,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
1388,20,white,male,False,False,True,False,False,True,True,,Observation of Suspected Contraband,Investigation
1395,35,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
1396,35,white,male,True,False,False,False,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
1412,27,black,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
1427,29,black,male,True,False,False,False,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
1445,20,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
1468,49,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
1489,25,white,male,False,False,True,True,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1490,21,asian/pacific islander,female,False,True,False,False,False,True,True,,Other Official Information,Driving While Impaired
1610,35,white,female,True,False,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
