,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,frisk_performed,search_person,search_vehicle,reason_for_frisk,reason_for_search,reason_for_stop
1613,38,black,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
1747,31,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
1756,64,black,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
1774,35,hispanic,male,True,False,False,False,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
1780,22,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
1782,39,black,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
1831,28,black,male,False,False,True,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
1878,22,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
1880,31,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
1882,38,black,female,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
1884,26,black,female,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
1888,34,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
1892,25,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
1901,49,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
1903,26,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
1909,20,white,male,False,True,False,True,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
1916,17,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1919,23,white,female,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
1955,59,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
1992,22,black,male,True,False,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
1993,23,white,male,True,False,False,False,False,True,True,,Other Official Information,Safe Movement Violation
2004,31,black,male,False,False,True,False,False,True,True,,Informant Tip,Speed Limit Violation
2016,25,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
2017,19,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
2023,22,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Speed Limit Violation
2028,40,black,female,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
2029,24,hispanic,male,True,False,False,False,False,True,True,,Suspicious Movement,Driving While Impaired
2035,28,white,female,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
2037,18,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
2040,53,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2050,44,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2054,22,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
2057,28,white,male,False,False,True,False,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
2065,30,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
2069,24,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2076,24,hispanic,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
2087,30,white,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
2166,18,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
2167,45,black,female,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
2200,30,white,female,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2201,23,hispanic,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
2208,33,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
2213,21,white,male,True,False,False,True,False,True,True,,Other Official Information,Speed Limit Violation
2214,18,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Speed Limit Violation
2217,33,unknown,male,True,False,False,False,False,True,True,,Suspicious Movement,Driving While Impaired
2237,23,white,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Speed Limit Violation
2267,20,black,male,False,False,True,False,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
2278,23,black,male,True,False,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
2318,27,hispanic,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
2328,44,white,male,False,True,False,False,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
2343,22,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
2361,26,white,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2372,21,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
2375,26,white,female,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2382,22,black,male,False,False,True,False,False,True,True,,Suspicious Movement,Investigation
2384,46,white,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
2386,19,white,male,False,True,False,False,False,True,True,,Other Official Information,Driving While Impaired
2395,23,white,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
2401,30,hispanic,male,True,False,False,False,False,True,True,,Witness Observation,Stop Light/Sign Violation
2427,35,black,male,False,False,True,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
2434,39,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2517,22,hispanic,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Equipment Violation
2559,15,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
2571,20,hispanic,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Driving While Impaired
2573,21,hispanic,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
2584,17,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
2590,28,black,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Other Motor Vehicle Violation
2595,37,black,male,False,False,True,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2603,24,black,female,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
2613,32,white,female,True,False,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
2626,36,black,male,False,True,False,True,False,True,False,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
2643,29,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2654,27,white,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Speed Limit Violation
2665,22,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
2667,34,black,male,True,False,False,False,False,True,True,,Other Official Information,Safe Movement Violation
2669,42,black,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
2762,22,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
2764,34,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
2768,29,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2771,23,white,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
2773,24,white,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
2774,49,white,male,False,True,False,False,False,True,True,,Other Official Information,Driving While Impaired
2776,39,white,male,True,False,False,False,False,True,True,,Suspicious Movement,Driving While Impaired
2781,27,white,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2796,23,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2811,21,white,male,True,False,False,False,False,True,True,,Other Official Information,Seat Belt Violation
2812,27,black,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
2816,33,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
2832,41,black,male,True,False,False,False,False,True,True,,Observation of Suspected Contraband,Investigation
2837,23,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
2847,29,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
2851,18,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
2855,20,white,female,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
2865,19,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
2867,35,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
2869,17,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
2872,47,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Safe Movement Violation
2873,22,black,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
2876,20,hispanic,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
2879,24,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
2890,23,hispanic,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
2923,24,white,male,True,False,False,False,False,True,True,,Other Official Information,Seat Belt Violation
2925,25,white,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
2936,21,hispanic,male,False,True,False,False,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
2940,27,black,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
2946,40,black,male,False,True,False,False,False,True,True,,Witness Observation,Other Motor Vehicle Violation
2964,35,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
2976,25,black,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
2989,24,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
2998,27,white,male,False,True,False,False,True,True,False,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Safe Movement Violation
3010,27,black,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3016,26,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
3033,29,black,female,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
3037,32,white,male,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Seat Belt Violation
3059,27,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3064,36,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
3092,25,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
3097,43,hispanic,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
3098,35,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3102,20,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3104,21,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
3106,28,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
3107,25,white,male,False,True,False,False,False,True,False,,Other Official Information,Other Motor Vehicle Violation
3211,20,white,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
3247,30,black,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
3279,21,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3282,42,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3293,32,hispanic,male,True,False,False,False,False,True,True,,Other Official Information,Investigation
3333,53,white,female,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3349,38,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3378,21,hispanic,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3407,25,black,male,False,True,False,True,False,True,True,,Observation of Suspected Contraband,Stop Light/Sign Violation
3432,25,white,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
3440,27,hispanic,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3441,36,white,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
3506,30,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3549,22,black,male,False,True,False,False,False,True,True,,Other Official Information,Investigation
3572,39,white,male,False,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3591,16,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
3593,32,unknown,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
3594,19,black,male,False,False,True,False,False,True,True,,Suspicious Movement,Investigation
3603,38,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
3616,43,black,male,True,False,False,False,False,True,True,,Suspicious Movement,Safe Movement Violation
3648,24,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3656,23,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
3659,25,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
3660,40,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3685,20,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Other Motor Vehicle Violation
3693,42,white,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
3694,23,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Vehicle Equipment Violation
3697,20,white,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
3699,35,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
3708,43,black,male,False,True,False,True,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
3709,37,black,male,False,True,False,False,False,True,True,,Other Official Information,Investigation
3724,19,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3747,19,black,male,False,True,False,False,False,True,True,,Informant Tip,Other Motor Vehicle Violation
3751,36,black,male,False,True,False,False,False,True,True,,Witness Observation,Vehicle Regulatory Violation
3759,27,white,female,True,False,False,True,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
3760,35,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3762,21,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3766,29,black,male,True,False,False,True,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
3780,35,hispanic,female,False,False,True,False,False,True,True,,Other Official Information,Speed Limit Violation
3786,24,white,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3788,21,black,female,False,False,True,False,False,True,True,,Other Official Information,Speed Limit Violation
3814,17,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Investigation
3819,26,white,female,False,True,False,False,False,True,True,,Other Official Information,Stop Light/Sign Violation
3820,20,hispanic,male,True,False,False,False,False,True,True,,Other Official Information,Driving While Impaired
3831,35,white,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
3834,20,white,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Safe Movement Violation
3846,21,black,female,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3857,28,black,male,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3858,22,hispanic,male,True,False,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3859,31,black,female,True,False,False,False,False,True,True,,Other Official Information,Investigation
3866,42,white,male,False,True,False,False,False,True,True,,Other Official Information,Investigation
3867,28,black,male,False,True,False,False,False,False,True,,Other Official Information,Other Motor Vehicle Violation
3869,30,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3873,16,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3893,25,white,male,False,False,True,False,False,False,True,,Erratic/Suspicious Behavior,Speed Limit Violation
3902,35,black,male,False,False,True,False,False,True,True,,Other Official Information,Speed Limit Violation
3908,20,hispanic,male,False,False,True,False,False,True,True,,Suspicious Movement,Other Motor Vehicle Violation
3914,19,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3922,30,white,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
3924,32,black,female,False,True,False,False,False,True,True,,Other Official Information,Seat Belt Violation
3927,24,black,male,False,True,False,False,False,True,True,,Other Official Information,Other Motor Vehicle Violation
3928,40,black,male,False,False,True,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
3931,33,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
3963,25,hispanic,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
3971,57,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Driving While Impaired
3974,24,white,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
3977,19,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Stop Light/Sign Violation
3980,20,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
4014,17,hispanic,male,True,False,False,False,False,True,True,,Other Official Information,Speed Limit Violation
4016,49,black,male,True,False,False,False,False,True,True,,Suspicious Movement,Vehicle Regulatory Violation
4020,30,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
4040,31,black,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Regulatory Violation
4041,20,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Speed Limit Violation
4047,22,white,male,False,True,False,False,False,True,True,,Observation of Suspected Contraband,Vehicle Regulatory Violation
4146,17,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Speed Limit Violation
4158,24,black,male,False,True,False,False,False,True,True,,Suspicious Movement,Stop Light/Sign Violation
4160,27,black,male,True,False,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
4162,26,unknown,male,False,True,False,False,False,True,True,,Erratic/Suspicious Behavior,Vehicle Equipment Violation
4170,20,black,male,True,False,False,False,False,True,True,,Erratic/Suspicious Behavior,Speed Limit Violation
4178,50,white,male,False,True,False,False,False,True,True,,Suspicious Movement,Driving While Impaired
4181,21,black,female,True,False,False,False,False,True,True,,Other Official Information,Vehicle Equipment Violation
4185,26,hispanic,male,False,True,False,False,True,True,True,Erratic/Suspicious Behavior,Erratic/Suspicious Behavior,Speed Limit Violation
4209,32,black,female,False,True,False,False,False,True,True,,Other Official Information,Vehicle Regulatory Violation
