,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,search_person,search_vehicle,reason_for_search,reason_for_stop
2314401,34.0,white,female,True,False,False,False,False,True,incarrest,------(i-)
2314408,19.0,black,female,True,False,False,False,True,True,prob,------(b-)
2314409,31.0,black,male,False,False,False,False,True,True,cons,--*
2314410,55.0,white,male,False,False,False,False,False,True,cons,--*
2314451,22.0,black,male,False,False,True,False,True,True,prob,------(a-)
2314452,24.0,black,male,False,True,False,False,True,True,k-,------(h)
2314462,20.0,hispanic,female,True,False,False,False,True,False,incarrest,------(k)
2314477,39.0,white,male,True,False,False,False,True,False,incarrest,------(c)
2314497,54.0,white,male,True,False,False,False,True,False,incarrest,------(a)
2314498,29.0,white,male,True,False,False,True,True,True,k-,--*
2314499,44.0,black,male,False,True,False,False,True,True,incarrest,-------(b)
2314541,24.0,black,female,False,False,False,False,False,True,cons,--*
2314553,32.0,white,male,True,False,False,True,True,True,incarrest,------(b)
2314554,56.0,white,male,True,False,False,True,True,True,cons,------(a-)
2314567,23.0,black,female,True,False,False,False,True,False,incarrest,------(a)
2314583,32.0,black,male,True,False,False,False,True,True,prob,------(c)
2314605,26.0,white,male,False,False,True,False,False,True,other,------.-
2314606,23.0,black,male,False,True,False,False,True,True,k-,------(a)
2314613,24.0,white,female,True,False,False,False,True,True,incarrest,--*
2314614,22.0,asian/pacific islander,male,True,False,False,False,True,False,incarrest,------(b)
2314615,24.0,white,female,True,False,False,False,True,True,incarrest,------(c)
2314616,23.0,white,male,False,False,True,False,True,True,other,------(h)
2314617,49.0,black,male,True,False,False,False,True,False,incarrest,------(a)
2314624,19.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a)
2314625,26.0,hispanic,male,True,False,False,False,True,False,incarrest,------(b)
2314645,24.0,other,female,False,True,False,False,True,True,incarrest,------(c)
2314656,18.0,white,male,False,True,False,False,False,True,k-,------(b)
2314683,30.0,black,male,True,False,False,False,False,True,incarrest,------(h)
2314695,24.0,white,female,True,False,False,False,True,True,incarrest,------(c)
2314705,33.0,white,male,False,False,True,False,True,True,cons,------(a)
