,subject_age,subject_race,subject_sex,contraband_found,frisk_performed,search_person,search_vehicle,reason_for_stop,reason_for_search
2717,18.0,black,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
2719,19.0,black,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
2721,19.0,black,male,True,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
2726,31.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
2747,32.0,white,male,False,False,True,True,CALL FOR SERVICE,PROBABLE CAUSE
2751,20.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
2753,23.0,white,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
2783,41.0,black,male,False,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
2854,31.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
2885,45.0,black,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
2891,39.0,hispanic,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
2941,33.0,hispanic,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
3082,47.0,hispanic,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
3089,22.0,black,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
3117,25.0,black,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
3118,26.0,black,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
3120,21.0,black,male,False,False,True,True,CALL FOR SERVICE,PROBABLE CAUSE
3142,22.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
3195,20.0,black,male,False,False,True,True,CALL FOR SERVICE,PROBABLE CAUSE
3272,44.0,black,male,True,False,True,True,SUSPICIOUS PERSON / VEHICLE,CONSENT
3355,55.0,white,male,False,False,True,True,SUSPICIOUS PERSON / VEHICLE,CONSENT
3401,27.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
3476,29.0,white,male,True,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
3506,23.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
3544,22.0,black,female,True,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
3558,49.0,black,male,False,True,True,True,OTHER,FRISK FOR SAFETY
3583,20.0,black,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
3683,16.0,hispanic,male,False,True,True,False,PRE-EXISTING KNOWLEDGE,FRISK FOR SAFETY
3704,49.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
3725,46.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
3773,36.0,hispanic,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
3808,32.0,white,male,True,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
3912,26.0,black,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
3949,56.0,white,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
3963,53.0,white,male,True,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
3974,48.0,hispanic,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
3980,29.0,white,male,False,True,True,False,OTHER,FRISK FOR SAFETY
3984,55.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
3990,20.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4004,52.0,white,male,True,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
4037,17.0,black,male,False,True,True,False,VIOLATION OF CITY ORDINANCE,FRISK FOR SAFETY
4112,25.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4172,23.0,hispanic,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4191,26.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
4206,23.0,white,male,False,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
4213,17.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4233,31.0,hispanic,male,False,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
4243,48.0,white,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4244,20.0,black,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4266,32.0,hispanic,male,True,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
4356,35.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
4366,26.0,black,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
4369,37.0,white,female,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4382,52.0,white,male,True,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4385,54.0,white,male,False,True,True,True,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
4420,20.0,white,female,True,False,True,True,CALL FOR SERVICE,PROBABLE CAUSE
4421,29.0,white,male,True,False,True,True,CALL FOR SERVICE,PROBABLE CAUSE
4463,27.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
