,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,search_person,search_vehicle,reason_for_search,reason_for_stop
80,25.0,hispanic,male,False,False,True,True,False,True,Odor of Contraband,Moving Violation
127,28.0,hispanic,male,False,True,False,False,False,True,Inventory Search,Moving Violation
171,27.0,hispanic,female,False,True,False,False,True,False,Inventory Search [Prior to Impound],Equipment Violation
193,55.0,black,male,False,False,False,False,False,True,-th Waiver Search,Moving Violation
221,36.0,white,male,False,True,False,True,False,True,Consent Search,Equipment Violation
295,23.0,asian/pacific islander,male,False,False,True,False,True,False,Consent Search,Equipment Violation
326,26.0,black,male,True,False,False,False,False,True,Inventory Search [Prior to Impound],Equipment Violation
358,18.0,hispanic,male,True,,,False,False,True,Inventory Search [Prior to Impound],Moving Violation
472,24.0,asian/pacific islander,male,False,False,False,False,True,True,Consent Search,Equipment Violation
562,18.0,hispanic,female,False,True,False,False,False,True,Inventory Search [Prior to Impound],Equipment Violation
585,56.0,white,male,False,True,False,False,False,True,Inventory Search [Prior to Impound],Equipment Violation
610,31.0,other,male,False,False,False,False,True,False,Consent Search,Equipment Violation
632,34.0,hispanic,male,False,False,False,False,True,True,Consent Search,Equipment Violation
683,36.0,white,male,False,True,False,False,False,True,Inventory Search,Moving Violation
701,56.0,black,female,False,False,True,False,True,True,Odor of Contraband,Equipment Violation
705,24.0,hispanic,male,False,True,False,False,False,True,Inventory Search [Prior to Impound],Moving Violation
760,31.0,white,male,False,True,False,False,False,True,Inventory Search,Moving Violation
769,23.0,hispanic,male,False,True,False,False,True,False,Inventory Search [Prior to Impound],Moving Violation
772,26.0,hispanic,male,False,True,False,False,True,False,-th Waiver Search,Moving Violation
796,52.0,hispanic,female,False,True,False,False,False,True,Consent Search,Equipment Violation
829,45.0,black,male,False,True,False,True,True,False,Odor of Contraband,Moving Violation
884,26.0,asian/pacific islander,male,False,True,False,True,True,False,-th Waiver Search,Equipment Violation
891,40.0,white,female,False,False,False,False,True,False,-th Waiver Search,Radio Call/Citizen Contact
918,43.0,hispanic,male,False,False,True,False,False,True,Consent Search,Moving Violation
939,40.0,hispanic,male,True,False,False,True,True,True,-th Waiver Search,Moving Violation
984,23.0,hispanic,male,False,False,True,False,True,False,Consent Search,Moving Violation
1009,47.0,asian/pacific islander,male,False,False,True,False,True,False,Consent Search,Moving Violation
1102,40.0,hispanic,male,False,False,True,True,True,True,Odor of Contraband,Personal Knowledge/Informant
1108,25.0,other,male,False,True,False,False,True,False,Consent Search,Equipment Violation
1150,30.0,hispanic,male,True,False,False,False,True,True,Consent Search,Personal Knowledge/Informant
1174,32.0,black,male,False,True,False,False,True,True,Odor of Contraband,Moving Violation
1184,42.0,hispanic,male,False,False,False,False,True,True,Consent Search,Moving Violation
1200,36.0,black,male,False,True,False,False,True,True,-th Waiver Search,Equipment Violation
1223,33.0,asian/pacific islander,male,False,True,False,False,False,True,Consent Search,Equipment Violation
1264,26.0,asian/pacific islander,female,True,False,False,False,True,True,Search incident to Arrest,Moving Violation
1266,42.0,white,male,False,False,False,False,True,False,-th Waiver Search,Moving Violation
1274,28.0,asian/pacific islander,male,False,False,False,False,True,False,-th Waiver Search,Equipment Violation
1308,20.0,hispanic,male,False,False,True,False,True,False,"Other, -----A",Moving Violation
1417,49.0,hispanic,male,True,False,False,False,True,False,Search incident to Arrest,Equipment Violation
1424,43.0,black,male,True,False,False,False,True,False,Search incident to Arrest,Moving Violation
1433,40.0,black,male,True,False,False,True,True,True,Contraband Visible,Equipment Violation
1437,43.0,hispanic,male,False,True,False,False,False,True,-th Waiver Search,Equipment Violation
1467,25.0,hispanic,male,False,False,True,False,True,False,FOR ID,Moving Violation
1470,24.0,white,male,False,True,False,False,False,True,Inventory Search [Prior to Impound],Equipment Violation
1489,19.0,hispanic,male,True,False,False,False,True,True,Search incident to Arrest,Moving Violation
1574,46.0,black,male,False,False,True,False,False,True,-th Waiver Search,Equipment Violation
1636,18.0,hispanic,male,True,False,False,True,False,True,Search incident to Arrest,Moving Violation
1638,39.0,hispanic,male,False,True,False,False,True,False,Consent Search,Moving Violation
1640,22.0,hispanic,male,False,False,True,False,True,False,Consent Search,Moving Violation
1669,18.0,hispanic,male,False,False,False,False,True,False,Consent Search,Equipment Violation
1689,60.0,black,female,False,True,False,False,True,False,Consent Search,Equipment Violation
1717,23.0,hispanic,male,True,,,False,True,False,Search incident to Arrest,Moving Violation
1733,23.0,white,male,False,True,False,True,False,True,Odor of Contraband,Equipment Violation
1762,23.0,hispanic,male,False,True,False,False,False,True,Inventory Search [Prior to Impound],Equipment Violation
1773,34.0,black,male,False,False,False,False,True,False,-th Waiver Search,Personal Knowledge/Informant
