,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,search_vehicle,reason_for_stop
33470,42.0,black,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33480,31.0,black,male,False,True,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33482,47.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33486,23.0,black,male,False,False,True,False,True,Moving Violation
33523,34.0,white,male,False,True,False,True,True,Moving Violation
33530,77.0,asian/pacific islander,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33542,41.0,black,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33563,16.0,black,male,False,False,False,False,True,Moving Violation
33577,25.0,hispanic,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33620,23.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33664,35.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33674,33.0,white,male,False,True,False,False,True,Moving Violation
33682,37.0,hispanic,male,False,False,False,False,True,Moving Violation
33756,28.0,asian/pacific islander,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33773,45.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33783,25.0,black,male,False,False,False,False,True,BOLO/APB/Warrant
33797,20.0,white,male,False,True,False,False,True,Moving Violation
33799,33.0,black,male,True,False,False,True,True,Moving Violation
33804,36.0,asian/pacific islander,male,True,False,False,True,True,Moving Violation
33806,40.0,white,female,False,True,False,True,True,Moving Violation
33813,27.0,white,male,False,True,False,False,True,Moving Violation
33817,28.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33832,30.0,black,female,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
33834,19.0,black,male,False,True,False,False,True,Moving Violation
33847,32.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33855,31.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33878,33.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33906,30.0,black,male,True,False,False,False,True,Moving Violation
33917,20.0,hispanic,female,False,True,False,True,True,Moving Violation
33924,58.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33936,39.0,black,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33937,52.0,white,male,False,False,False,False,True,Moving Violation
33946,26.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33959,56.0,hispanic,male,False,True,False,True,True,Moving Violation
33969,33.0,white,male,False,True,False,False,True,Moving Violation
33980,26.0,black,male,False,False,True,False,True,Moving Violation
34003,25.0,black,male,False,True,False,False,True,Moving Violation
34005,43.0,black,male,False,True,False,False,True,Moving Violation
34023,44.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34032,20.0,black,female,False,True,False,False,True,Moving Violation
34033,32.0,hispanic,male,False,False,False,False,True,Moving Violation
34079,36.0,white,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34092,21.0,black,female,False,True,False,False,True,Moving Violation
34135,28.0,other,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34137,35.0,hispanic,male,False,True,False,False,True,Moving Violation
34174,51.0,white,male,False,True,False,True,True,Moving Violation
34214,27.0,black,male,True,False,False,False,True,Moving Violation
34240,45.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
34261,31.0,white,male,False,True,False,False,True,Moving Violation
34270,21.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34286,24.0,black,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34289,19.0,hispanic,male,False,False,True,True,True,Moving Violation
34328,34.0,white,female,False,True,False,False,True,Moving Violation
34336,38.0,white,male,True,False,False,True,True,Moving Violation
34339,25.0,black,male,False,True,False,False,True,Moving Violation
34347,42.0,black,male,False,True,False,False,True,Moving Violation
34358,22.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34398,18.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
34399,35.0,black,male,False,False,True,True,True,Moving Violation
34410,20.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34422,39.0,white,male,False,True,False,False,True,Moving Violation
34432,24.0,other,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
34440,35.0,black,male,False,False,False,False,True,Moving Violation
34492,44.0,asian/pacific islander,male,True,False,False,True,True,Moving Violation
34507,22.0,black,male,False,False,False,False,True,BOLO/APB/Warrant
34526,26.0,white,female,False,True,False,True,True,Moving Violation
34527,33.0,white,male,False,True,False,False,True,Moving Violation
34530,21.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34533,31.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34542,26.0,other,male,False,True,False,False,True,Moving Violation
34557,20.0,black,male,False,True,False,False,True,Moving Violation
34558,23.0,hispanic,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34566,26.0,asian/pacific islander,male,False,True,False,False,True,Moving Violation
34581,37.0,hispanic,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34588,29.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34591,20.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
34598,27.0,black,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34601,25.0,other,male,False,False,True,True,True,Mechanical or Non-Moving Violation (V.C.)
34606,39.0,black,female,False,True,False,True,True,Moving Violation
34628,25.0,hispanic,female,False,True,False,False,True,Moving Violation
34635,28.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34657,41.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
34661,18.0,white,male,False,True,False,False,True,Moving Violation
34690,35.0,asian/pacific islander,male,True,False,False,False,True,Moving Violation
34692,25.0,black,male,False,False,True,False,True,BOLO/APB/Warrant
34702,29.0,black,male,False,True,False,False,True,Moving Violation
34738,51.0,other,female,True,False,False,True,True,Moving Violation
34741,29.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34750,21.0,black,male,False,True,False,False,True,Moving Violation
34775,39.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
34790,37.0,asian/pacific islander,male,True,False,False,True,True,Moving Violation
34802,63.0,white,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
34807,30.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34810,58.0,white,male,True,False,False,True,True,Moving Violation
34820,25.0,white,female,False,True,False,False,True,Moving Violation
34825,25.0,white,male,True,False,False,True,True,Moving Violation
34826,17.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34840,23.0,black,male,False,False,True,False,True,Moving Violation
34862,34.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34880,25.0,black,male,False,False,True,False,True,Moving Violation
34884,30.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34904,26.0,white,male,False,False,False,False,True,Moving Violation
34912,21.0,black,male,False,False,True,False,True,Moving Violation
34915,51.0,white,female,False,False,False,False,True,Moving Violation
34917,45.0,black,male,False,False,True,False,True,Moving Violation
34918,25.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
34935,39.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
34956,79.0,white,male,True,False,False,True,True,Moving Violation
34972,29.0,other,male,True,False,False,True,True,Moving Violation
34976,32.0,white,male,False,True,False,False,True,Moving Violation
35010,20.0,black,male,False,False,True,False,True,BOLO/APB/Warrant
35047,22.0,black,male,False,False,True,True,True,Mechanical or Non-Moving Violation (V.C.)
35048,48.0,white,female,False,True,False,False,True,Moving Violation
35132,30.0,white,male,False,False,False,False,True,Moving Violation
35148,40.0,white,female,False,False,True,True,True,Moving Violation
35159,62.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35161,19.0,black,male,False,False,False,False,True,Moving Violation
35164,45.0,hispanic,male,True,False,False,False,True,Moving Violation
35179,17.0,white,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35186,29.0,black,female,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35187,21.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
35192,38.0,white,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35197,47.0,black,male,False,True,False,False,True,Moving Violation
35199,30.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35216,35.0,black,male,False,True,False,False,True,Moving Violation
35221,41.0,black,male,True,False,False,False,True,Moving Violation
35229,23.0,other,male,False,True,False,True,True,Moving Violation
35239,42.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35255,44.0,hispanic,male,False,True,False,False,True,Moving Violation
35257,26.0,hispanic,female,False,True,False,True,True,Moving Violation
35269,20.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35296,23.0,black,male,False,True,False,False,True,Moving Violation
35297,28.0,hispanic,female,False,True,False,False,True,Moving Violation
35304,28.0,white,male,False,True,False,False,True,Moving Violation
35308,37.0,black,male,False,True,False,False,True,Moving Violation
35333,39.0,white,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
35336,26.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35339,32.0,black,male,False,True,False,False,True,Moving Violation
35367,21.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35373,20.0,black,male,False,True,False,False,True,Moving Violation
35376,35.0,other,male,False,False,True,False,True,Moving Violation
35382,24.0,white,male,False,True,False,False,True,Moving Violation
35383,25.0,hispanic,male,False,True,False,True,True,Moving Violation
35387,31.0,white,male,False,True,False,True,True,Mechanical or Non-Moving Violation (V.C.)
35463,23.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35480,57.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35502,42.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35506,53.0,hispanic,male,False,False,True,True,True,Moving Violation
35509,32.0,white,male,False,False,False,False,True,Moving Violation
35511,25.0,hispanic,male,False,False,False,False,True,Moving Violation
35514,19.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35518,46.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35522,21.0,black,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35541,41.0,hispanic,female,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35555,41.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35596,48.0,asian/pacific islander,female,True,False,False,True,True,Moving Violation
35601,17.0,other,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35610,38.0,black,male,False,False,False,False,True,Moving Violation
35625,43.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35629,58.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35646,30.0,white,male,False,True,False,False,True,Moving Violation
35653,19.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35662,58.0,other,male,True,False,False,False,True,Moving Violation
35664,29.0,white,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35665,22.0,black,female,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35666,35.0,black,male,True,False,False,True,True,Moving Violation
35672,26.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35675,25.0,white,female,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35679,26.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35680,19.0,black,female,False,False,True,False,True,Moving Violation
35681,24.0,black,female,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
35682,26.0,white,female,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35692,54.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35708,26.0,black,male,False,True,False,False,True,Moving Violation
35741,19.0,black,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
35752,50.0,white,male,False,False,False,False,True,Moving Violation
35772,25.0,white,male,False,True,False,False,True,Moving Violation
35774,30.0,hispanic,male,False,True,False,False,True,Moving Violation
35775,28.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35787,35.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35828,49.0,hispanic,male,False,False,False,False,True,Moving Violation
35865,29.0,white,male,False,False,False,False,True,Moving Violation
35873,21.0,black,male,False,False,False,False,True,Moving Violation
35955,38.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35957,30.0,white,male,True,False,False,True,True,BOLO/APB/Warrant
35980,66.0,black,male,False,True,False,False,True,Moving Violation
35988,40.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
35991,40.0,black,male,False,True,False,False,True,Moving Violation
35999,53.0,black,female,False,False,False,False,True,Moving Violation
36004,21.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36016,25.0,black,male,False,True,False,False,True,Moving Violation
36024,29.0,black,female,False,True,False,False,True,Moving Violation
36025,30.0,hispanic,male,False,False,False,False,True,Moving Violation
36067,24.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36089,32.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36119,18.0,hispanic,female,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
36128,17.0,black,male,False,True,False,False,True,Moving Violation
36131,51.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36143,36.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36165,47.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36188,47.0,black,male,False,True,False,False,True,Moving Violation
36191,30.0,black,male,True,False,False,False,True,Moving Violation
36197,30.0,black,female,False,False,True,False,True,Moving Violation
36222,27.0,white,male,False,True,False,False,True,Moving Violation
36269,53.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36273,46.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36286,54.0,white,male,True,False,False,True,True,Moving Violation
36303,22.0,black,male,False,True,False,False,True,Moving Violation
36356,29.0,hispanic,male,True,False,False,False,True,Moving Violation
36373,21.0,white,male,True,False,False,False,True,Moving Violation
36394,62.0,white,female,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36412,24.0,asian/pacific islander,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36414,41.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
36443,41.0,white,male,True,False,False,True,True,Moving Violation
36454,39.0,black,male,True,False,False,True,True,Moving Violation
36474,21.0,black,male,False,False,True,False,True,Moving Violation
36482,28.0,black,male,True,False,False,False,True,Moving Violation
36524,20.0,black,female,False,False,False,False,True,Moving Violation
36552,31.0,black,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36582,55.0,hispanic,male,True,False,False,True,True,Moving Violation
36594,41.0,other,male,False,True,False,False,True,Moving Violation
36602,22.0,asian/pacific islander,male,True,False,False,False,True,Moving Violation
36608,21.0,asian/pacific islander,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36612,16.0,black,male,False,True,False,False,True,Moving Violation
36623,27.0,hispanic,male,False,True,False,False,True,Moving Violation
36629,33.0,other,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36670,24.0,hispanic,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36686,30.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36692,25.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36702,33.0,white,male,False,True,False,False,True,Moving Violation
36706,25.0,asian/pacific islander,male,False,False,True,False,True,Moving Violation
36721,30.0,hispanic,male,False,False,True,False,True,Moving Violation
36739,31.0,white,male,False,True,False,True,True,Moving Violation
36743,32.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36784,27.0,white,female,True,False,False,True,True,Moving Violation
36799,67.0,black,male,False,False,True,True,True,Moving Violation
36830,30.0,hispanic,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36874,30.0,white,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36879,20.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36891,45.0,black,male,False,True,False,False,True,Moving Violation
36905,26.0,black,male,False,True,False,False,True,Moving Violation
36938,21.0,asian/pacific islander,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36942,28.0,hispanic,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
36964,28.0,black,female,False,True,False,False,True,Moving Violation
36966,27.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
36969,28.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36982,23.0,asian/pacific islander,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36983,28.0,black,male,True,False,False,False,True,BOLO/APB/Warrant
36985,23.0,white,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
36992,27.0,black,male,False,True,False,False,True,Moving Violation
37014,45.0,white,male,False,False,False,False,True,Moving Violation
37018,49.0,white,male,False,True,False,False,True,Moving Violation
37032,32.0,white,male,False,False,False,False,True,Moving Violation
37039,23.0,black,female,True,False,False,True,True,Moving Violation
37046,23.0,asian/pacific islander,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37114,36.0,asian/pacific islander,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37160,21.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37169,20.0,black,female,True,False,False,True,True,Moving Violation
37194,32.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37197,34.0,black,female,False,True,False,False,True,Moving Violation
37205,19.0,white,male,False,True,False,False,True,Moving Violation
37210,35.0,white,male,False,False,False,False,True,Moving Violation
37212,28.0,black,male,False,False,True,False,True,Moving Violation
37225,23.0,hispanic,male,False,False,False,False,True,Moving Violation
37226,20.0,white,male,True,False,False,False,True,Moving Violation
37229,44.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37233,27.0,hispanic,male,False,True,False,False,True,Moving Violation
37239,19.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
37277,38.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37283,45.0,white,female,False,True,False,False,True,Moving Violation
37285,28.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37305,31.0,hispanic,male,False,False,True,True,True,Moving Violation
37344,55.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37391,60.0,hispanic,male,True,False,False,True,True,Moving Violation
37412,40.0,black,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37413,20.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37418,22.0,asian/pacific islander,male,False,False,False,False,True,Moving Violation
37432,60.0,other,female,True,False,False,True,True,Moving Violation
37439,56.0,hispanic,male,False,False,True,False,True,Moving Violation
37454,23.0,white,male,False,True,False,False,True,Moving Violation
37469,37.0,asian/pacific islander,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37493,49.0,white,female,False,False,True,True,True,Moving Violation
37500,23.0,black,female,False,False,False,False,True,Assistance to Motorist
37523,43.0,hispanic,male,False,True,False,True,True,Moving Violation
37536,21.0,black,male,False,True,False,False,True,Moving Violation
37541,34.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37573,43.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37626,35.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37633,26.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37654,48.0,black,female,False,False,False,False,True,Moving Violation
37680,23.0,black,female,False,False,False,False,True,Moving Violation
37683,27.0,other,male,True,False,False,False,True,Moving Violation
37694,33.0,white,female,False,False,False,False,True,Moving Violation
37700,22.0,black,female,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37703,29.0,other,female,False,False,False,False,True,Moving Violation
37719,21.0,black,male,False,True,False,False,True,Moving Violation
37720,17.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37736,26.0,white,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37752,30.0,black,male,False,False,False,False,True,Moving Violation
37814,42.0,black,male,True,False,False,False,True,Moving Violation
37822,50.0,hispanic,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37833,30.0,white,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
37835,27.0,black,male,False,False,True,False,True,Moving Violation
37842,23.0,hispanic,male,False,True,False,False,True,Moving Violation
37865,18.0,black,male,False,False,True,False,True,Moving Violation
37875,18.0,black,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37881,51.0,black,female,False,True,False,True,True,Moving Violation
37888,35.0,black,male,False,True,False,True,True,Moving Violation
37975,30.0,black,male,False,False,False,False,True,Moving Violation
37983,50.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
37995,30.0,black,male,False,True,False,False,True,Moving Violation
38017,25.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
38038,58.0,black,male,True,False,False,True,True,Moving Violation
38074,45.0,hispanic,female,False,True,False,True,True,Moving Violation
38104,46.0,white,male,False,True,False,False,True,Moving Violation
38160,23.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38175,30.0,hispanic,female,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38176,47.0,other,male,False,True,False,False,True,Moving Violation
38182,25.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38192,28.0,hispanic,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38227,49.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38229,19.0,hispanic,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
38230,40.0,white,male,True,False,False,False,True,Moving Violation
38234,23.0,hispanic,male,True,False,False,False,True,Moving Violation
38248,38.0,hispanic,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38263,35.0,hispanic,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38298,23.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
38299,35.0,white,male,True,False,False,True,True,Moving Violation
38300,21.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38328,32.0,hispanic,female,False,True,False,False,True,Moving Violation
38436,41.0,black,female,False,False,False,False,True,Moving Violation
38445,51.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38510,19.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38527,21.0,black,male,False,False,True,False,True,Moving Violation
38543,45.0,white,male,False,True,False,False,True,Moving Violation
38551,24.0,hispanic,male,False,True,False,False,True,Moving Violation
38554,24.0,black,male,True,False,False,True,True,Moving Violation
38559,23.0,black,male,False,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38560,35.0,white,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38569,29.0,asian/pacific islander,male,True,False,False,True,True,Moving Violation
38612,33.0,black,male,False,True,False,False,True,Moving Violation
38625,26.0,white,female,False,False,False,False,True,Moving Violation
38630,33.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38651,29.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38653,19.0,hispanic,male,False,True,False,False,True,Moving Violation
38659,25.0,black,male,False,True,False,False,True,Moving Violation
38675,52.0,hispanic,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38678,34.0,black,male,False,False,True,True,True,Moving Violation
38680,21.0,black,male,False,False,True,False,True,Moving Violation
38691,32.0,black,male,True,False,False,True,True,Moving Violation
38711,35.0,hispanic,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38724,21.0,asian/pacific islander,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
38799,25.0,white,male,False,True,False,False,True,Moving Violation
38805,22.0,hispanic,male,True,False,False,False,True,Moving Violation
38821,36.0,white,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38837,18.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38843,27.0,hispanic,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38855,24.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
38861,34.0,black,male,False,False,True,False,True,Moving Violation
