,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,search_vehicle,reason_for_stop
33182,39.0,hispanic,male,True,False,False,False,True,Moving Violation
33185,24.0,hispanic,female,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33192,24.0,white,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
33210,27.0,white,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
33211,48.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33224,45.0,black,male,False,False,True,False,True,Mechanical or Non-Moving Violation (V.C.)
33236,22.0,hispanic,female,False,True,False,False,True,Moving Violation
33246,39.0,asian/pacific islander,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33262,23.0,black,male,False,True,False,False,True,Moving Violation
33277,47.0,white,male,False,True,False,False,True,Moving Violation
33284,33.0,asian/pacific islander,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33291,45.0,hispanic,female,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33293,24.0,asian/pacific islander,female,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33295,30.0,other,male,False,True,False,False,True,Moving Violation
33307,50.0,white,female,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33311,40.0,white,male,True,False,False,True,True,Mechanical or Non-Moving Violation (V.C.)
33312,27.0,black,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33313,23.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33331,56.0,black,male,False,True,False,False,True,Moving Violation
33333,49.0,hispanic,male,False,False,False,False,True,Moving Violation
33359,21.0,hispanic,male,False,False,True,True,True,Moving Violation
33387,47.0,black,male,True,False,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33406,41.0,white,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33432,20.0,black,male,False,True,False,False,True,Mechanical or Non-Moving Violation (V.C.)
33434,21.0,white,male,False,False,False,True,True,Moving Violation
33442,36.0,black,male,False,False,True,False,True,Moving Violation
